OBJECTID,Fire80_Raster,X,Y,asp2,twi,tmaxjuly_2,tmax,soilmois,slope,ndvi,lulc,lake,evt_aug,elevation,road,river,pcp
1,1,977898.6348,-171014.6681,4,-6,4,5,4,3,5,4,2,5,3,2,4,3
2,1,941398.6348,-51414.66811,5,-46,4,5,3,2,5,4,4,5,3,2,4,3
3,1,947098.6348,-50814.66811,5,-6,4,5,3,2,5,4,4,5,3,2,4,3
4,1,2355698.635,-50114.66811,5,-6,3,5,3,2,5,4,5,5,1,0,5,4
5,1,2349198.635,-51214.66811,3,143,3,5,3,3,5,4,5,4,1,0,5,4
6,1,2353798.635,-52114.66811,3,-6,3,5,3,2,5,4,5,4,1,0,5,4
7,1,2353898.635,-39714.66811,4,-6,3,5,3,3,5,4,5,5,1,0,5,4
8,1,2354898.635,-45114.66811,3,129,3,5,3,2,5,4,5,5,1,0,5,4
9,1,2347098.635,-47014.66811,4,-6,3,5,3,2,5,4,5,4,1,0,5,4
10,1,2362098.635,-46714.66811,3,-6,3,5,3,2,5,4,5,5,1,1,5,4
11,1,830898.6348,-19714.66811,5,143,4,4,3,3,5,4,3,5,3,2,3,3
12,1,728098.6348,11285.33189,4,-46,3,4,3,2,5,4,3,5,3,1,4,3
13,1,726498.6348,9885.33189,3,143,3,4,3,4,5,4,3,5,3,1,4,3
14,1,724698.6348,8785.33189,3,129,3,4,3,2,5,4,3,5,3,0,4,3
15,1,725798.6348,5285.33189,2,143,3,4,3,3,5,4,3,5,3,0,4,3
16,1,727298.6348,12585.33189,3,-6,3,4,3,4,5,4,3,5,3,1,4,3
17,1,725698.6348,11985.33189,2,-219,3,4,3,4,5,4,3,5,3,1,4,3
18,1,-114701.3652,40485.33189,5,-46,5,5,4,2,4,2,3,5,2,0,4,2
19,1,1623898.635,54985.33189,2,129,4,4,3,4,5,4,4,4,3,2,5,3
20,1,1629298.635,51885.33189,5,-6,4,5,3,5,5,4,4,4,3,2,4,3
21,1,1629798.635,50985.33189,2,-46,4,5,3,3,5,4,4,4,3,2,4,3
22,1,1630698.635,49785.33189,3,-6,4,5,3,3,5,4,4,4,3,2,4,3
23,1,1594998.635,59285.33189,2,129,4,5,3,3,5,4,3,4,3,3,5,3
24,1,-329001.3652,100985.3319,5,-46,5,5,2,2,3,3,3,5,3,1,3,2
25,1,1424598.635,100885.3319,3,-46,3,4,2,2,5,4,3,4,3,3,3,3
26,1,1422798.635,100085.3319,4,129,3,4,2,2,5,4,3,4,3,3,3,3
27,1,1422098.635,98185.33189,5,129,4,4,2,2,4,4,3,4,3,3,3,3
28,1,1425198.635,95685.33189,4,143,4,4,2,3,5,4,3,4,3,3,3,3
29,1,1423498.635,94585.33189,2,129,4,4,2,3,5,4,3,4,3,3,3,3
30,1,1425198.635,93485.33189,3,129,4,4,2,3,5,4,3,4,3,3,3,3
31,1,1426698.635,93185.33189,4,-46,4,4,2,2,5,4,3,4,3,3,3,3
32,1,1423498.635,92185.33189,3,129,4,4,2,2,5,4,3,4,3,3,3,3
33,1,1447098.635,111285.3319,5,143,4,4,2,3,5,4,2,4,3,3,3,3
34,1,1450198.635,115885.3319,5,-6,3,4,2,2,5,4,2,4,3,3,3,3
35,1,1453798.635,115885.3319,3,-46,4,4,2,2,5,4,2,4,3,3,4,3
36,1,1454998.635,114685.3319,5,129,4,4,2,2,5,4,2,4,3,3,4,3
37,1,1449298.635,114085.3319,3,-46,3,4,2,2,5,4,2,4,3,3,3,3
38,1,1456098.635,113385.3319,5,129,4,4,2,2,5,4,2,4,3,3,4,3
39,1,1449198.635,112285.3319,2,129,4,4,2,3,5,4,2,4,3,3,3,3
40,1,1456398.635,110485.3319,5,129,4,4,2,2,5,4,2,4,3,3,4,3
41,1,1455898.635,108985.3319,2,129,4,4,2,3,5,4,2,4,3,3,4,3
42,1,1454398.635,108585.3319,2,143,4,4,2,3,5,4,2,4,3,3,4,3
43,1,1454798.635,107185.3319,5,143,4,4,2,3,5,4,2,4,3,3,4,3
44,1,1472998.635,117285.3319,5,129,3,4,2,4,5,4,2,4,3,3,4,3
45,1,1474198.635,115085.3319,4,-46,3,4,2,3,5,4,2,4,3,3,4,3
46,1,1473698.635,114485.3319,3,-46,3,4,2,4,5,4,2,4,3,3,4,3
47,1,1472398.635,113785.3319,3,-6,3,4,2,3,5,4,2,4,3,3,4,3
48,1,1552198.635,110685.3319,3,143,4,4,2,3,5,4,3,4,3,3,5,3
49,1,2187398.635,115685.3319,5,143,5,5,3,4,5,9,5,5,2,1,3,4
50,1,1447698.635,128585.3319,4,129,4,4,2,3,5,4,2,4,3,3,3,3
51,1,1454498.635,120385.3319,5,129,4,4,2,4,5,4,2,4,3,3,4,3
52,1,1453798.635,118185.3319,4,143,4,4,2,3,5,4,2,4,3,3,4,3
53,1,1471998.635,120385.3319,5,-219,3,4,2,5,4,4,2,4,3,3,4,3
54,1,1471798.635,119685.3319,5,-219,3,4,2,5,4,4,2,4,3,3,4,3
55,1,1471498.635,119385.3319,5,-6,3,4,2,4,5,4,2,4,3,3,4,3
56,1,1113298.635,140785.3319,3,129,4,4,2,2,5,6,4,4,3,2,4,3
57,1,1112698.635,137685.3319,5,129,4,4,2,3,5,4,4,4,3,2,5,3
58,1,1113198.635,134985.3319,2,129,4,4,3,3,5,4,4,4,3,2,5,3
59,1,1127398.635,143385.3319,2,143,4,4,2,3,5,4,4,4,3,2,4,3
60,1,1121898.635,142885.3319,4,143,4,4,2,3,5,4,4,4,3,2,4,3
61,1,1116698.635,141285.3319,4,129,4,4,2,3,5,4,4,4,3,2,4,3
62,1,1125898.635,140685.3319,4,-6,4,4,2,3,4,4,4,4,3,2,4,3
63,1,1128898.635,140385.3319,4,143,4,4,2,3,4,4,4,4,3,2,4,3
64,1,1121398.635,139085.3319,2,129,4,4,2,2,4,4,4,4,3,2,4,3
65,1,1116798.635,137985.3319,3,-6,4,4,2,2,5,4,4,4,3,2,4,3
66,1,1130798.635,143485.3319,3,-46,4,4,2,2,4,4,4,4,3,2,4,3
67,1,2192298.635,139485.3319,2,-219,5,5,3,4,5,9,5,5,2,1,3,4
68,1,1540298.635,148685.3319,2,143,3,4,2,3,5,4,2,3,3,3,5,3
69,1,-274701.3652,170485.3319,3,-6,5,5,3,2,3,4,2,5,2,1,3,2
70,1,-255801.3652,175785.3319,3,-6,5,5,3,2,3,4,1,5,2,2,2,2
71,1,-250801.3652,165985.3319,3,-46,5,5,3,2,2,4,1,5,2,2,1,2
72,1,166098.6348,177085.3319,4,-46,4,4,2,2,5,4,4,4,3,2,4,2
73,1,1300698.635,178485.3319,5,143,4,4,2,3,5,4,3,4,3,1,2,3
74,1,1298698.635,175385.3319,5,-6,4,4,2,3,5,4,3,4,2,0,2,3
75,1,1299098.635,172985.3319,5,129,4,4,2,3,4,4,3,4,3,1,2,3
76,1,1298698.635,167385.3319,2,-6,4,4,2,2,5,4,3,4,3,0,2,3
77,1,1356898.635,176485.3319,3,129,3,4,2,3,4,4,3,4,3,2,3,3
78,1,1353498.635,175485.3319,3,-219,3,4,2,4,4,4,3,4,3,2,3,3
79,1,1352698.635,174285.3319,3,-219,3,4,2,4,4,4,3,4,3,2,3,3
80,1,1363198.635,177885.3319,4,-6,3,4,2,2,4,4,3,4,3,2,3,3
81,1,1358098.635,172185.3319,3,143,3,4,2,4,4,4,3,4,3,2,3,3
82,1,1364598.635,169585.3319,5,-219,3,4,2,4,4,4,3,4,3,2,3,3
83,1,1468998.635,178185.3319,3,-46,3,4,2,2,4,4,1,4,3,3,4,3
84,1,1467798.635,177385.3319,3,129,3,4,2,2,3,4,1,4,3,3,4,3
85,1,1466498.635,177285.3319,4,143,4,4,2,3,4,4,1,4,3,3,4,3
86,1,1472498.635,167185.3319,2,-219,4,4,2,4,4,4,1,4,3,3,4,3
87,1,173598.6348,179785.3319,5,129,4,4,2,2,5,4,4,4,3,2,4,2
88,1,352498.6348,180185.3319,3,-6,5,4,2,2,4,4,3,5,3,3,4,3
