OBJECTID,Training_fire_point,X,Y,twi,tmaxjuly_2,tmax,soilmois,slope,ndvi,lulc,lake,evt_aug,elevation,aspect,road,river,pcp
1,1,977932.8409,-171014.6681,-6,4,5,4,3,5,4,2,5,3,4,2,4,3
2,1,1347032.841,-80014.66811,-6,4,5,3,3,5,4,4,5,2,3,2,4,3
3,1,944432.8409,-50014.66811,129,4,5,3,2,5,4,4,5,3,6,2,4,3
4,1,947032.8409,-50814.66811,-6,4,5,3,2,5,4,4,5,3,5,2,4,3
5,1,941432.8409,-51414.66811,-46,4,5,3,2,5,4,4,5,3,5,2,4,3
6,1,2349132.841,-51214.66811,143,3,5,3,3,5,4,5,4,1,3,0,5,4
7,1,2355632.841,-50114.66811,,3,5,3,,5,11,5,5,,,0,5,4
8,1,2353832.841,-52114.66811,-6,3,5,3,2,5,4,5,4,1,3,0,5,4
9,1,2349832.841,-43414.66811,143,3,5,3,4,5,4,5,5,1,2,0,5,4
10,1,2353832.841,-39714.66811,-6,3,5,3,3,5,4,5,5,1,4,0,5,4
11,1,2360532.841,-40914.66811,143,3,5,3,3,5,4,5,5,1,3,1,5,4
12,1,2354832.841,-45114.66811,129,3,5,3,2,5,4,5,5,1,3,0,5,4
13,1,2362132.841,-46714.66811,-6,3,5,3,2,5,4,5,5,1,3,1,5,4
14,1,2357532.841,-47614.66811,-46,3,5,3,3,5,11,5,5,1,3,1,5,4
15,1,830832.8409,-19714.66811,-6,4,4,3,3,5,4,3,5,3,6,2,3,3
16,1,1105732.841,-32014.66811,143,4,5,3,4,5,4,4,5,3,5,2,3,3
17,1,724732.8409,8785.33189,129,3,4,3,2,5,4,3,5,3,3,0,4,3
18,1,728132.8409,11285.33189,-46,3,4,3,2,5,4,3,5,3,4,1,4,3
19,1,725632.8409,11985.33189,-219,3,4,3,4,5,4,3,5,3,2,1,4,3
20,1,727232.8409,12585.33189,-6,3,4,3,4,5,4,3,5,3,3,1,4,3
21,1,-114667.1591,40485.33189,-46,5,5,4,2,4,2,3,5,2,5,0,4,2
22,1,1623832.841,54985.33189,129,4,4,3,4,5,4,4,4,3,2,2,5,3
23,1,1629332.841,51885.33189,-6,4,5,3,5,5,4,4,4,3,5,2,4,3
24,1,1629732.841,50985.33189,-46,4,5,3,3,5,4,4,4,3,6,2,4,3
25,1,1630732.841,49785.33189,-6,4,5,3,3,5,4,4,4,3,3,2,4,3
